Num.col,Colector,Localidad-sym,Familia,Genero,especie,Infraespecifico,calificadorID,Nombre cientifico,N¼ individuos en parche,UICN,LISTA-ROJA-ECUADOR,Habito,Amenazada,Localidad,NOTAS,ENDEMICA PAIS,ENDEMICA CENTINELA,PAIS,,,,,,,,,,
17694,"Clark, John Littner",BCLR,Fabaceae,Browneopsis,macrofoliolata,,,Browneopsis macrofoliolata,,CR,CR,çrbol,s’,Bosque y Cascadas las Rocas,,X,,ECU,,,,,,,,,,
observacion,A Fern‡ndez,BCLR,Fabaceae,Browneopsis,macrofoliolata,,,Browneopsis macrofoliolata,<100,CR,CR,çrbol,s’,Bosque y Cascadas las Rocas,,X,,ECU,,,,,,,,,,
observacion,A Fern‡ndez,M2,Fabaceae,Browneopsis,macrofoliolata,,,Browneopsis macrofoliolata,<100,CR,CR,çrbol,s’,Milton Murillo M2,,X,,ECU,,,,,,,,,,
observacion,A Fern‡ndez,M3,Fabaceae,Browneopsis,macrofoliolata,,,Browneopsis macrofoliolata,<100,CR,CR,çrbol,s’,Milton Murillo M3,,X,,ECU,,,,,,,,,,
observacion,A Fern‡ndez,SBS,Gesneriaceae,Gasteranthus,atratus,,,Gasteranthus atratus,<100,CR,CR,Hierba,s’,"Bosque Sur. ""Bosque de la avioneta"", cerca de Bosque Vega",,X,,ECU,,,,,,,,,,
830,"White, Dawson M.",BCLR,Gesneriaceae,Gasteranthus,extinctus,,,Gasteranthus extinctus,,CR,CR,Hierba,s’,Parroquia El Esfuerzo. Comunidad Polanco. Bosque y Cascadas las Rocas.,,,X,ECU,,,,,,,,,,
4478,JC Cer—n,BCLR,Fabaceae,Browneopsis,macrofoliolata,,,Browneopsis macrofoliolata,,CR,CR,çrbol,s’,Bosque y Cascadas las Rocas,,,,ECU,,,,,,,,,,
6566,"Guevara, Juan Ernesto",BCLR,Fabaceae,Browneopsis,macrofoliolata,,,Browneopsis macrofoliolata,,CR,CR,çrbol,s’,Parroquia El Esfuerzo. Comunidad Polanco. Bosque y Cascadas las Rocas.,,,,ECU,,,,,,,,,,
16787,"Clark, John Littner",BCLR,Gesneriacae,Gasteranthus,extinctus,,,Gasteranthus extinctus,,CR,CR,Hierba,s’,"Parroquia: Polanco. Sector Bolo Alto, Bosque y Cascadas Las Rocas (propiedad de Eduardo Diaz). Waterfalls of the Bolo watershed.",,,X,ECU,,,,,,,,,,
16813,"Clark, John Littner",BCLR,Fabaceae,Browneopsis,macrofoliolata,,,Browneopsis macrofoliolata,,CR,CR,çrbol,s’,"Parroquia: Polanco. Sector Bolo Alto, Cascada Escondida (propiedad de Felip Lliuipuma & Elsa Simba–a), waterfalls of the Bolo watershed.",,,,ECU,,,,,,,,,,
16819,"Clark, John Littner",BCLR,Gesneriaceae,Gasteranthus,extinctus,,,Gasteranthus extinctus,,CR,CR,Hierba,s’,"Parroquia: Polanco. Sector Bolo Alto, Cascada Escondida (propiedad de Felip Lliuipuma & Elsa Simba–a), waterfalls of the Bolo watershed.",,,X,ECU,,,,,,,,,,
observacion,A Fern‡ndez,BCLR,Gesneriaceae,Gasteranthus,extintus,,,Gasteranthus extinctus,<100,CR,CR,Hierba,s’,Bosque y Cascadas las Rocas,,,X,ECU,,,,,,,,,,
17662,"Clark, John Littner",CC,Gesneriaceae,Gasteranthus,extinctus,,,Gasteranthus extinctus,,CR,CR,Hierba,s’,Cascadas Cristal,,,X,ECU,,,,,,,,,,
observacion,A Fern‡ndez,CDP,Gesneriaceae,Gasteranthus,extintus,,,Gasteranthus extinctus,<100,CR,CR,Hierba,s’,Centinela del Pichincha,,,X,ECU,,,,,,,,,,
observacion,A Fern‡ndez,M2,Gesneriaceae,Gasteranthus,extintus,,,Gasteranthus extinctus,<100,CR,CR,Hierba,s’,Milton Murillo M2,,,X,ECU,,,,,,,,,,
4603,JC Cer—n,M3,Fabaceae,Browneopsis,macrofoliolata,,,Browneopsis macrofoliolata,,CR,CR,çrbol,s’,Milton Murillo M3,,,,ECU,,,,,,,,,,
