source,SeniorCollector,CollectionNumber,FamilyName,Genus,Species,Subspecific,Author,DeterminationBy,DeterminationYear,qualifier,Rank,CurrentDet,*Institutions,AlternateDet,*Accession Numbers,*Barcodes,year,Date Display,IsCultivated,InCentinelaRidge,Country,UpperName,LowerName,Locality,LatitudeDecimal,LongitudeDecimal,ElevationDisplay,*Coordinate Display,*GeographicKeywords,Description,*Ecological Condition
collections,"Cornejo, Xavier",9984,Fabaceae,,,,,,,,family,Fabaceae,GUAY,,,,2021,13-Nov-21,FALSE,TRUE,Ecuador,Santo Domingo de los Tsáchilas,Santa Maria del Toachi,"Centinela: Respaldo del Bimbe, quebrada patch under antennas",-0.6556444,-79.2910083,660,,,,
collections,"Cornejo, Xavier",9988,Melastomataceae,,,,,,,,family,Melastomataceae,GUAY,,,,2021,13-Nov-21,FALSE,TRUE,Ecuador,Santo Domingo de los Tsáchilas,Santa Maria del Toachi,"Centinela: Respaldo del Bimbe, quebrada patch under antennas",-0.6556444,-79.2910083,660,,,,
collections,"Cornejo, Xavier",10013,Fabaceae,,,,,,,,family,Fabaceae,GUAY,,,,2021,14-Nov-21,FALSE,TRUE,Ecuador,Santo Domingo de los Tsáchilas,Santa Maria del Toachi,La Centinela; southwestern side of southernmost mountain.,-0.6667056,-79.3128167,630,,,,
collections,"Couvreur, Thomas L. P.",1490,Rubiaceae,,,,,,,,family,Rubiaceae,"P, QCA",,,,2021,13-Nov-21,FALSE,TRUE,Ecuador,Santo Domingo de los Tsáchilas,Bellavista,Forest fragment near community of San Pedro del Bimbe,-0.5029288,-79.2358947,520,,,,
collections,"Couvreur, Thomas L. P.",1495,Rubiaceae,,,,,,,,family,Rubiaceae,"P, QCA",,,,2021,13-Nov-21,FALSE,TRUE,Ecuador,Santo Domingo de los Tsáchilas,Bellavista,Forest fragment near community of San Pedro del Bimbe,-0.5029288,-79.2358947,520,,,,
collections,"Couvreur, Thomas L. P.",1504,Gesneriaceae,,,,,,,,family,Gesneriaceae,"P, QCA",,,,2021,13-Nov-21,FALSE,TRUE,Ecuador,Santo Domingo de los Tsáchilas,Bellavista,"Montañas de Ila, ridge line near La Centinela.  Small village called San Pedro del Bimbe; 12 km west in straight line from Patricia Pilar, ca 6 km south east from Palmar del Bimbe.",-0.56557,-79.26737,520,,,,
collections,"Couvreur, Thomas L. P.",1506,Melastomataceae,,,,,,,,family,Melastomataceae,"P, QCA",,,,2021,13-Nov-21,FALSE,TRUE,Ecuador,Santo Domingo de los Tsáchilas,Bellavista,"Montañas de Ila, ridge line near La Centinela.  Small village called San Pedro del Bimbe; 12 km west in straight line from Patricia Pilar, ca 6 km south east from Palmar del Bimbe.",-0.56557,-79.26737,520,,,,
collections,"Couvreur, Thomas L. P.",1508,Sapotaceae,,,,,,,,family,Sapotaceae,"P, QCA",,,,2021,13-Nov-21,FALSE,TRUE,Ecuador,Santo Domingo de los Tsáchilas,Bellavista,"Montañas de Ila, ridge line near La Centinela.  Small village called San Pedro del Bimbe; 12 km west in straight line from Patricia Pilar, ca 6 km south east from Palmar del Bimbe.",-0.56557,-79.26737,520,,,,
collections,"Guevara, Juan Ernesto",6531,Orchidaceae,,,,,,,,family,Orchidaceae,QCNE,,,,2021,13-Nov-21,FALSE,TRUE,Ecuador,Santo Domingo de los Tsáchilas,Santa Maria del Toachi,"Centinela: Respaldo del Bimbe, quebrada patch under antennas",-0.6556444,-79.2910083,660,,,,
collections,"Guevara, Juan Ernesto",6539,Gesneriaceae,,,,,,,,family,Gesneriaceae,QCNE,,,,2021,13-Nov-21,FALSE,TRUE,Ecuador,Santo Domingo de los Tsáchilas,Santa Maria del Toachi,"Centinela: Respaldo del Bimbe, quebrada patch under antennas",-0.6556444,-79.2910083,660,,,,
collections,"Guevara, Juan Ernesto",6540,Gesneriaceae,,,,,,,,family,Gesneriaceae,QCNE,,,,2021,13-Nov-21,FALSE,TRUE,Ecuador,Santo Domingo de los Tsáchilas,Santa Maria del Toachi,"Centinela: Respaldo del Bimbe, quebrada patch under antennas",-0.6556444,-79.2910083,660,,,,
collections,"Guevara, Juan Ernesto",6541,Euphorbiaceae,,,,,,,,family,Euphorbiaceae,QCNE,,,,2021,13-Nov-21,FALSE,TRUE,Ecuador,Santo Domingo de los Tsáchilas,Santa Maria del Toachi,"Centinela: Respaldo del Bimbe, quebrada patch under antennas",-0.6556444,-79.2910083,660,,,,
collections,"Guevara, Juan Ernesto",6543,Fabaceae,,,,,,,,family,Fabaceae,QCNE,,,,2021,13-Nov-21,FALSE,TRUE,Ecuador,Santo Domingo de los Tsáchilas,Santa Maria del Toachi,"Centinela: Respaldo del Bimbe, quebrada patch under antennas",-0.6556444,-79.2910083,660,,,,
collections,"Guevara, Juan Ernesto",6547,Gesneriaceae,,,,,,,,family,Gesneriaceae,QCNE,,,,2021,13-Nov-21,FALSE,TRUE,Ecuador,Santo Domingo de los Tsáchilas,Santa Maria del Toachi,"Centinela: Respaldo del Bimbe, quebrada patch under antennas",-0.6556444,-79.2910083,660,,,,
collections,"Guevara, Juan Ernesto",6553,Gesneriaceae,,,,,,,,family,Gesneriaceae,QCNE,,,,2021,13-Nov-21,FALSE,TRUE,Ecuador,Santo Domingo de los Tsáchilas,Santa Maria del Toachi,"Centinela: Respaldo del Bimbe, quebrada patch under antennas",-0.6556444,-79.2910083,660,,,,
collections,"Guevara, Juan Ernesto",99215,Commelinaceae,,,,,,,,family,Commelinaceae,QCNE,,,,2021,14-Nov-21,FALSE,TRUE,Ecuador,Santo Domingo de los Tsáchilas,Bellavista,Remnant patches of primary forest close to the hamlet of San Pedro de Pambil and mainly surrounded by melina (Gmelina arborea) plantations. Steep ravines and small streams.,-0.56083,-79.27666,665,,,,
collections,"Guevara, Juan Ernesto",99220,Orchidaceae,,,,,,,,family,Orchidaceae,QCNE,,,,2021,15-Nov-21,FALSE,FALSE,Ecuador,Santo Domingo de los Tsáchilas,Santa Maria del Toachi,Parroquia El Esfuerzo. Comunidad Polanco. Bosque y Cascadas las Rocas.,-0.478983,-79.188037,665,,,,
collections,"Guevara, Juan Ernesto",911200,Gesneriaceae,,,,,,,,family,Gesneriaceae,QCNE,,,,2021,14-Nov-21,FALSE,TRUE,Ecuador,Santo Domingo de los Tsáchilas,Bellavista,Forest fragment near community of San Pedro del Bimbe,-0.56083,-79.27666,615,,,,
collections,"Guevara, Juan Ernesto",911203,Gesneriaceae,,,,,,,,family,Gesneriaceae,QCNE,,,,2021,14-Nov-21,FALSE,TRUE,Ecuador,Santo Domingo de los Tsáchilas,Bellavista,Forest fragment near community of San Pedro del Bimbe,-0.56083,-79.27666,615,,,,
collections,"Guevara, Juan Ernesto",911204,Rubiaceae,,,,,,,,family,Rubiaceae,QCNE,,,,2021,14-Nov-21,FALSE,TRUE,Ecuador,Santo Domingo de los Tsáchilas,Bellavista,Forest fragment near community of San Pedro del Bimbe,-0.56083,-79.27666,615,,,,
collections,"Guevara, Juan Ernesto",911205,Araceae,,,,,,,,family,Araceae,QCNE,,,,2021,14-Nov-21,FALSE,TRUE,Ecuador,Santo Domingo de los Tsáchilas,Bellavista,Forest fragment near community of San Pedro del Bimbe,-0.56083,-79.27666,615,,,,
collections,"Guevara, Juan Ernesto",911206,Rubiaceae,,,,,,,,family,Rubiaceae,QCNE,,,,2021,14-Nov-21,FALSE,TRUE,Ecuador,Santo Domingo de los Tsáchilas,Bellavista,Forest fragment near community of San Pedro del Bimbe,-0.56083,-79.27666,615,,,,
collections,"Guevara, Juan Ernesto",911207,Asteraceae,,,,,,,,family,Asteraceae,QCNE,,,,2021,14-Nov-21,FALSE,TRUE,Ecuador,Santo Domingo de los Tsáchilas,Bellavista,Forest fragment near community of San Pedro del Bimbe,-0.56083,-79.27666,615,,,,
collections,"Guevara, Juan Ernesto",911209,Gesneriaceae,,,,,,,,family,Gesneriaceae,QCNE,,,,2021,14-Nov-21,FALSE,TRUE,Ecuador,Santo Domingo de los Tsáchilas,Bellavista,Forest fragment near community of San Pedro del Bimbe,-0.56083,-79.27666,615,,,,
collections,"Guevara, Juan Ernesto",911214,Marantaceae,,,,,,,,family,Marantaceae,QCNE,,,,2021,14-Nov-21,FALSE,TRUE,Ecuador,Santo Domingo de los Tsáchilas,Bellavista,Forest fragment near community of San Pedro del Bimbe,-0.56083,-79.27666,615,,,,
collections,"Guevara, Juan Ernesto",911218,Orchidaceae,,,,,,,,family,Orchidaceae,QCNE,,,,2021,15-Nov-21,FALSE,FALSE,Ecuador,Santo Domingo de los Tsáchilas,Santa Maria del Toachi,Parroquia El Esfuerzo. Comunidad Polanco. Bosque y Cascadas las Rocas.,-0.478983,-79.188037,720,,,,
